ID,STATUS,Applied Criterios,TITLE,ABSTRACT
457.0,Excluded,ec3,Agile way of BI implementation,"The rapidly changing IT economy has influenced the Business Intelligence (BI) systems to look at innovative ways to be equally fast and flexible. There is a need to be more intuitive and quick in implementation so as to adapt to the changing environment. One of the ways by which organizations can achieve these goals is by using Agile based BI development models. There are many components in a successful BI solution which include data integration, analytics, data quality, metadata management, enterprise data warehouse, dashboards and so on. Each of these components are critical for an organization, and stakeholders are ready to invest in these. The only issue is how quickly we can provide these solutions and how flexible these solutions are with the changing demands. Traditionally, we have been using the waterfall SDLC model for BI implementations which encourages getting requirements clarity in the initial phases of the projects and having distinct deliverables for each phase. With time the approach has been customized and enhanced to `iterative waterfall approach' where a chunk of requirements is implemented in one SDLC cycle. Though this approach has been successful in the past, the BI practitioners recognize that business requirements are not static and we must be able to effectively mould the deliverables based on changing requirements. Hence, we cannot continue with the Waterfall (or Iterative waterfall) project management approach that is neither fast nor flexible. Applying the concepts of agile development to BI is the intuitive way forward. The aim of this paper is to provide a background on agile project management &amp; development techniques, and suggest some guidelines and best practices which can help in successful Agile BI implementations."
458.0,Excluded,ec3,Agile Won't Work: Implementing Agility in Non-standard Teams,Stories of real teams enthusiastically implementing agile in non-standard situations shows openness and constant adaptation as the most important factors for success.
459.0,Excluded,ec3,Agile’s Role in Developing Robust Software Competency at Precor,"Precor has a history of innovation as a leader in the fitness equipment industry. Market forces caused new technology innovations, and traditional outsourcing strategies failed to deliver on the new vision. The decision to develop these new product capabilities in-house created the need for software competency that didn't currently exist. Cost of software was historically considered “free” because it was very simple and ROI was far less than a year. Now, software is driving many business decisions and strategies. And today the software group has about 40 people. Starting a software competency in an existing business with material non-software businesses is not straightforward. Sustaining this competency requires successfully addressing challenges with the entire organization and is a long-term effort. This experience report provides a multi-year reflection and includes business decisions that drove key behaviors."
460.0,Excluded,ec3,Agilists and the art of integrated assessment tool development,"Software engineering for Integrated Assessment needs to address the fact that systems and models developed are increasingly used in participatory settings. Applying old principles of inside-out design and development using waterfall model based processes is no longer sufficient. New software engineering insights based on interaction design and iterative, agile processes for the development help in building systems from a more outside-in perspective. Based on two case studies from large European projects on integrated assessment this switch from applying old to applying new principles will be described, and its effects discussed. Elements were taken from interaction design: personas, story boards, mock-ups, focus groups and focus tasks. These were mixed with an iterative and incremental development process, using agile elements such as: daily stand-ups, user stories, planning games, Test Driven Development and continuous integration. The resulting process was used for the development of the two systems (SIAT and SEAMLESS-IF) for integrated assessment, giving them a more user-oriented focus than what would have resulted from following the old principles."
461.0,Excluded,ec1,Agility,"Aus der Kunst, Software zu
      erstellen, wurde in den letzten 30 Jahren mehr und mehr eine
      Ingenieurdisziplin. Die Kunst wurde ersetzt durch Methoden und
      Verfahren für Analyse, Design, Programmierun..."
462.0,Excluded,ec3,Agility and Experimentation: Practical Techniques for Resolving Architectural Tradeoffs,"This paper outlines our experiences with making architectural tradeoffs between performance, availability, security, and usability, in light of stringent cost and time-to-market constraints, in an industrial web-conferencing system. We highlight the difficulties in anticipating future architectural requirements and tradeoffs and the value of using agility and experiments as a tool for mitigating architectural risks in situations when up front pen-and- paper analysis is simply impossible."
463.0,Excluded,ec3,"Agility at scale: economic governance, measured improvement, and disciplined delivery","Agility without discipline cannot scale, and discipline without agility cannot compete. Agile methods are now mainstream. Software enterprises are adopting these practices in broad, comprehensive delivery contexts. There have been many successes, and there have been disappointments. IBMs framework for achieving agility at scale is based on hundreds of successful deployments and dozens of disappointing experiences in accelerating software delivery cycles within large-scale organizations. Our collective know-how points to three key principles to deliver measured improvements in agility with high confidence: Steer using economic governance, measure incremental improvements honestly, and empower teams with disciplined agile delivery This paper elaborates these three principles and presents practical recommendations for achieving improved agility in large-scale software delivery enterprises."
464.0,Excluded,ec3,Agility in context,"Evangelists for Agile methods strongly encourage all projects to follow every practice of their chosen method. Based on a Grounded Theory study involving 40 participants at 16 organizations, and corroborated by 4 independent case studies, we argue that development methods and practices must be adapted to fit their contexts. Understanding Agility in context will help development teams, their managers, and Agile coaches to adapt development processes to fit their projects' contexts."
465.0,Excluded,ec3,Agility in the avionics software world,"This paper 1 takes a look at how XP and other agile practices can improve a software process for the development of avionics software. Developers of mission critical airborne software are heavily constrained by the RTCA DO-178B regulations [8]. These regulations impose strict rules regarding traceability and documentation that make it extremely hard to employ an iterative software development process. In particular, the extra validation overhead increases the time spent on small iteration cycles (for example, a bug-fix) to several weeks. Currently, this sector is also pressed to switch to a more agile, customer driven approach. In this paper we investigate how to speed up development and cope with changing requirements using agile techniques. The research was carried out in cooperation with Barco, a major Belgian avionics equipment supplier. We explain why certain agile techniques have less effect as the project progresses. We point out the stadia in which each XP practice is beneficial and where XP practices might cause a slowdown. Â© Springer-Verlag Berlin Heidelberg 2006."
466.0,Excluded,ec3,Agility measurement index: a metric for the crossroads of software development methodologies,"Software engineering's journey to maturity has been marked by the advent of different development methodologies. While each paradigm has its context and cognoscenti, project teams are often faced with the choice of one approach over another in the grind of delivering software on time and within budget. In this paper, we briefly review the three major techniques of addressing enterprise software development, namely the Waterfall, Unified and Extreme styles. The metric Agility Measurement Index is then proposed, which helps organizations choose the methodology that best suites a particular project."
467.0,Included,included,Agility vs. stability at a successful start-up: steps to progress amidst chaos and change,"It is not uncommon for good technical solutions to fail in the marketplace. Equally true, great business opportunities are not always met with appropriate technical solutions. While there can be many causes to such failures, one common problem is the gap between expectations and implementation. Extreme Programming is an excellent delivery methodology for bridging this gap. This paper presents lessons learned from applying Extreme Programming in a start-up environment. In particular, the challenges of meeting and adapting to evolving requirements are presented."
468.0,Included,included,"Ahaa --agile, hybrid assessment method for automotive, safety critical smes","The need for software is increasingly growing in the automotive industry. Software development projects are, however, often troubled by time and budget overruns, resulting in systems that do not fulfill customer requirements. Both research and industry lack strategies to combine reducing the long software development lifecycles (as required by time-to-market demands) with increasing the quality of the software developed. Software process improvement (SPI) provides the first step in the move towards software quality, and assessments are a vital part of this process. Unfortunately, software process assessments are often expensive and time consuming. Additionally, they often provide companies with a long list of issues without providing realistic suggestions. The goal of this paper is to describe a new low-overhead assessment method that has been designed specifically for small-to-medium-sized (SMEs) organisations wishing to be automotive software suppliers. This assessment method integrates the structured-ness of the plan-driven SPI models of Capability Maturity Model Integration (CMMI) and Automotive SPICE with the flexibleness of agile practices."
469.0,Excluded,ec3,Aligning architecture knowledge management with Scrum,"Combining agile project management approaches such as Scrum and software architecture related work has been found problematic. In this paper, we propose several models to align architecture knowledge management with Scrum, based on different architecture work practices in Scrum identified in the industry. The proposed models exploit an architectural knowledge base with a capability to generate architectural documents, and a decision-based architecture evaluation method."
470.0,Excluded,ec3,"Alignment of business, architecture, process, and organisation in a software development context","In this paper we investigate the current state of work regarding alignment of Business, Architecture, Process, and Organisation (BAPO) perspectives in a software product development context. We planned to do that by conducting a systematic literature study to capture the state of the art in alignment of BAPO in software development. But, as it turned out we found that almost no substantial information is available about the alignment of BAPO in software development. Thus, based on the available literature and a small qualitative study, we defined a conceptual model of the alignment of BAPO including five levels of alignment that can be used as a basis for future empirical studies."
471.0,Excluded,ec3,ALLFlight: tackling the brownout problem,"In 2008, the German Aerospace Center (DLR) started the project ALLFlight (Assisted Low Level Flight and Landing on Unprepared Landing Sites). The aim of the program is to integrate a full scale enhanced vision sensor suite in DLR’s research helicopter EC135. The sensor suite consists of a variety of imaging sensors, including a color TV camera and an uncooled thermal infrared camera. Two different ranging sensors are also part of the sensor suite: an optical radar scanner and a millimeter wave radar system. Both radar systems are equipped with specialized software for experimental modes, such as terrain mapping and ground scanning. To be able to process and display the enormous amount of data generated by these sensors, a compact high performance sensor co-computer system (SCC) has been designed and set up. It is built to be easily installable in the helicopter’s cargo bay. We describe the high performance, distributed data acquisition, recording, processing, and fusion software architecture that has been developed and implemented during the first project year. Furthermore, this paper describes the challenging mechanical integration of such a comprehensive sensor suite in the EC135 and explains the architectural hard- and software concept and its implementation in the SCC."
472.0,Excluded,ec3,Ambient awareness of build status in collocated software teams,"We describe the evaluation of a build awareness system that assists agile software development teams to understand current build status and who is responsible for any build breakages. The system uses ambient awareness technologies, providing a separate, easily perceived communication channel distinct from standard team workflow. Multiple system configurations and behaviours were evaluated. An evaluation of the system showed that, while there was no significant change in the proportion of build breakages, the overall number of builds increased substantially, and the duration of broken builds decreased. Team members also reported an increased sense of awareness of, and responsibility for, broken builds and some noted the system dramatically changed their perception of the build process making them more cognisant of broken builds."
473.0,Excluded,ec7,An \{IT\} perspective on integrated environmental modelling: The \{SIAT\} case,"Policy makers have a growing interest in integrated assessments of policies. The Integrated Assessment Modelling (IAM) community is reacting to this interest by extending the application of model development from pure scientific analysis towards application in decision making or policy context by giving tools a higher capability for analysis targeted at non-experts, but intelligent users. Many parties are involved in the construction of such tools including modellers, domain experts and tool users, resulting in as many views on the proposed tool. During tool development research continues which leads to advanced understanding of the system and may alter early specifications. Accumulation of changes to the initial design obscures the design, usually vastly increasing the number of defects in the software. The software engineering community uses concepts, methods and practices to deal with ambiguous specifications, changing requirements and incompletely conceived visions, and to design and develop maintainable/extensible quality software. The aim of this paper is to introduce modellers to software engineering concepts and methods which have the potential to improve model and tool development using experiences from the development of the Sustainability Impact Assessment Tool. These range from choosing a software development methodology for planning activities and coordinating people, technical design principles impacting maintainability, quality and reusability of the software to prototyping and user involvement. It is argued that adaptive development methods seem to best fit research projects, that typically have unclear upfront and changing requirements. The break-down of a system into elements that overlap as little as possible in features and behaviour helps to divide the work across teams and to achieve a modular and flexible system. However, this must be accompanied by proper automated testing methods and automated continuous integration of the elements. Prototypes, screen sketches and mock-ups are useful to align the different views, build a shared vision of required functionality and to match expectations."
474.0,Excluded,ec7,An adaptive QoS-aware fault tolerance strategy for web services,"Service-Oriented Architecture (SOA) is widely adopted for building mission-critical systems, ranging from on-line stores to complex airline management systems. How to build reliable SOA systems becomes a big challenge due to the compositional nature of Web services. This paper proposes an adaptive QoS-aware fault tolerance strategy for Web services. Based on a user-collaborated QoS-aware middleware, SOA systems can dynamically adjust their optimal fault tolerance configurations to achieve optimal service reliability as well as good overall performance. Both the subjective user requirements and the objective system performance of the Web services are considered in our adaptive fault tolerance strategy. Experiments are conducted to illustrate the advantages of the proposed adaptive fault tolerance strategy. Performance and effectiveness comparisons of the proposed adaptive fault tolerance strategy and various traditional fault tolerance strategies are also provided."
475.0,Excluded,ec7,An adaptive security model using agent-oriented \{MDA\},"Model-driven architecture (MDA) supports model-centred software development via successive model transformation. In MDA, the reusability of models is improved as well as the traceability of requirements. Agent-oriented model-driven architecture (AMDA) associates adaptive agents with a business-oriented interaction model and lets agents dynamically interpret their behaviour from the continuously maintained model via which the current business needs are deployed at runtime. The continuous re-interpretation rather than discrete re-transformation of models means immediate requirements deployment after re-configuration, no system down time being required to affect changes and results in a development process that is oriented to business experts rather than developers. Adopting the adaptive agent model, an \{AMDA\} paradigm, we put forward a securityâ€“aware model-driven mechanism by using an extension of the role-based access control (RBAC) model. For this purpose, the concept of agent role proposed in agent-oriented software engineering (AOSE) is integrated with the one proposed in RBAC. Agent duties are specified in an interaction model and describe the roles that agents can play to fulfil their functional responsibilities. Agent rights are specified in a security policy rule model attached to the interaction model and describe constraints upon agent capabilities caused by their associated social roles. The role-based interaction and policy-driven model incorporates both agent rights and duties. Hence, functional requirements and non-functional security constraint requirements are put together, related by the concept of role. Consequently, agents can continuously use the re-configurable model to play their roles in order to fulfil their responsibilities, and at the same time respect the security constraints. The major contribution from the approach is a method for building adaptive and secure MAS, following model-driven architecture. The approach is illustrated with an actual British railway management system."
476.0,Excluded,ec3,An adaptive software development process model,"The concept of agile process models has gained great popularity in software (SW) development community in past few years. Agile models promote fast development. This property has certain drawbacks, such as poor documentation and bad quality. Fast development promotes use of agile process models in small-scale projects. This paper modifies and evaluates extreme programming (XP) process model and proposes a novel adaptive process mode based on these modifications."
477.0,Excluded,ec3,An Agile \{MDA\} Approach for Service-Oriented Components,"Two important principles that drive the agile \{MDA\} processes are immediate execution and test first development. This paper presents a component model, called iComponent, that allows the development of executable models based on agile principles and service orientation. In order to ensure simple and fast definition of component operations, we use a concrete syntax for \{UML\} structured activities and a corresponding \{UML\} profile. The study also includes a mapping of iComponent to some existing service-oriented component frameworks (iPOJO, OSGi, SCA). The proposed platform-independent component model is part of a framework for component definition, validation and composition."
478.0,Excluded,ec3,An agile approach for integration of an open source health information system,"In this paper we examine the close relationship that can be established between Agile methodologies and the FLOSS (Free-Libre Open Source Software) development model, by integrating a Health Information System (HIS) into the IT environment of an Italian hospital (a so-called software verticalization). We followed XP approach during development of new features. This approach allowed us not only to contribute to the original Open Source project, helping it to become increasingly mature, but also to evaluate in a quantitative manner the effort devoted to the international project, to the national context and to the specific health care organization."
479.0,Included,included,An agile approach for software product lines scoping,"Agile principles and practices have been applied in some Software Product Lines (SPL) activities such as scoping, requirements, tests, and architecture to address benefits from both paradigms. Agile principles and practices can be appropriate to scenarios with frequent changes decreasing effort, improving the communication and collaboration among the stakeholders, and adapting easier to volatilities of technology, domain, or requirements when performing the SPL activities. This paper describes an initial approach for SPL scoping combined with Agile principles and practices."
480.0,Included,included,An agile approach to requirement specification,"This experience report is about how one project in Norway made an agile approach to specifying software requirements for a new intranet. Rather than spending months on trying to detail all requirements and aspects of the solution, the team spent a few weeks specifying a prioritized list of high-level requirements. Further details will emerge by face-to-face communication through the iterations of the project quickly turning in to valuable working software for the customer."
481.0,Excluded,ec6,An Agile Constructionist Mentoring Methodology for Software Projects in the High School,"This article describes the construction process and evaluation of the Agile Constructionist Mentoring Methodology (ACMM), a mentoring method for guiding software development projects in the high school. The need for such a methodology has arisen due ..."
482.0,Excluded,ec3,An agile development methodology applied to embedded control software under stringent hardware constraints,"In recent years, discrete control systems play an important role in the development and advancement of modern civilization and technology. Practically every aspect of our life is affected by some type of control systems. This kind of system maybe classified as an embedded real-time system and requires rigorous methodologies to develop the software that is under stringent hardware constraints. Therefore, the proposed development methodology adapts agile principles and patterns in order to build embedded control systems focusing on the issues related to the system's constraints and safety. Strong unit testing is the foundation of the proposed methodology for ensuring timeliness and correctness. Moreover, platform-based design approach is used to balance costs and time-to-market in view of performance and functionality constraints. We conclude that the proposed methodology reduces significantly the design time and cost as well as leads to better software modularity and reliability."
483.0,Included,included,An Agile Development Team's Quest for CMMI® Maturity Level 5,"Pragmatics performs agile development, has been rated at CMMI (Capability Maturity Model Integration) maturity level 4, and is striving to achieve CMMI maturity level (CML) 5. By maturing our agile disciplines, we feel we will not only improve the performance of our agile teams, which will ultimately benefit our agile development practices regardless of our appraisal rating, but will also lead to our being appraised at CML 5. This experience report describes the steps we are taking to improve our agile development disciplines, which we believe will lead to our being appraised at CML 5."
484.0,Included,included,An agile hypertext design methodology,"Customers are driving down lead times for software, especially for Web applications, to only a few months. While a number of hypertext design models exist, they do not address the issue of the requirements and analysis process that normally feeds the design process. In this paper we present an agile approach to developing hypertext applications, which focuses on the requirements and analysis stages, something that is largely ignored in current methodologies."
485.0,Excluded,ec6,An agile method for teaching agile in business schools,"Abstract The aim of this paper is to describe, evaluate and discuss a new method for teaching agile project management and similar subjects in higher education. Agile is not only a subject domain in this work, the teaching method itself is based on Scrum, a popular agile methodology mostly used in software development projects. The method is supported by wikis, a natural platform for simulation of software development environments. The findings from the evaluation indicate that the method enables the creation of â€œsignificant learningâ€�, which prepares students for life-long learning and increases their employability. However, the knowledge gains, resulting from wiki interactions are found to be more quantitative than qualitative. The results also imply that despite the active promotion of agile values of communication and feedback, issues regarding the teamwork are still emerging. The engagement of the teacher in the learning and teaching process was discovered to be a motivational factor for the team cohesion. This paper could be of interest to anyone planning to teach agile in the higher education settings, but also to a wider academic community interested in applying agile methods in their own teaching practice."
486.0,Included,included,An agile request for proposal (RFP) process,"The request for proposal (RFP) process can be agile and efficient. At a high level, the key to achieving this is to specify requirements just in time and containing just enough detail. We apply the following XP practices and concepts to the RFP process: acceptance tests, business value, iterative and incremental delivery, on-site customer, pair development, planning game, spike, story, velocity, and yesterday's weather. In addition, the following concepts are combined with those from XP to achieve maximal benefit: user-goal use case, context diagram, level of detail, and decision tree. The contributions to the agile community are two-fold: describing a practical application of XP concepts to a nonprogramming project; and making use case style requirements processes more agile."
487.0,Included,included,An analysis of the agile method Scrum approach adapted in the process areas requirements management and requirements development of the CMMI [Uma anÃ¡lise do mÃ©todo Ã¡gil scrum conforme abordagem nas Ã¡reas de processo gerenciamento e desenvolvimento de requisitos do CMMI],In this article we analize the agile method Scrum in relation to the process areas Requirements Management and Requirements Development of the CMMI model. The results obtained from this analysis indicate that Scrum does not meet all the required practices present in such process areas. We point out what is missing in Scrum to fully comply with these areas and propose solutions for it.
488.0,Excluded,ec3,An Application of Focus Theory to Project Management Processes,"This article presents the findings of an exploratory study of the degree to which Focus Theory, a general theory about group productivity, can be used to improve the productivity of project management activities. Guided by the theory and the principles of collaboration engineering, we developed a collaborative template for project progress status reporting. We evaluated the template in both face-to-face and distributed group interactions. The study indicated that a collaborative template helped structure status reporting activity and provided a permanent record of project status for future reference. As a result, it was efficient and effective for team leaders to prepare topics for project status meetings by using the template. The meetings became focused on topics outlined on the template and meeting participants commented that the meeting record helped them keep track of what had been either accomplished or decided. The major limitation observed for use of the template was that, when used in distributed and synchronous interactions, it needed to be augmented by voice communication because communication in text-only format, as provided by the template, was too time-consuming. We discuss implications of the research outcomes with respect to the usefulness and limitations of Focus Theory."
489.0,Excluded,ec7,An application of rule-based tool in attributive logic for business rules modeling,"This paper presents results of the research being conducted in the Department of Applied Computer Science at Faculty of Management, \{AGH\} University of Science and Technology and concerning the use of database server for business rules modeling as knowledge based systems in information systems design and development. Our assumption was that most business rules would have complex structure and their interpretation would require new facts to be generated and analyzed, similarly as it happens in expert systems. Another assumption was that the rules would be stored in tables of relational database. Our experience gained so far indicates that the idea of the compilation of possibilities given by \{SQL\} language and interface engine based on if-then type rules together with the ability of new facts generation is right."
490.0,Excluded,ec3,An approach for concurrent evaluation of technical and social aspects of software development methodologies,The paper presents an approach for evaluation of software development methodologies (SDM) that considers the aspects of a SDMâ€™s social adoption and technical efficiency. It builds on existing evaluation models used in the field of SDM. Case study approach was used to validate the model in four software development organisations. In all four cases the management confirmed that the model provided valuable new insights into adoption and efficiency of the companiesâ€™ SDM.
491.0,Included,included,An approach to applying SOFL for agile process and its application in developing a test support tool,"Structured Object-Oriented Formal Language (SOFL) is a representative formal engineering method for software development. It offers a three-step specification approach to constructing formal specifications, and specification-based inspection and testing for verification and validation. In this paper, we describe a novel approach to applying the SOFL method to achieve agile development process. This approach results from our experience in several collaboration projects with industry, and aims to strike a balance between the fast delivery of software product and the assurance of its quality. We have tested the approach in developing a prototype test support tool."
492.0,Excluded,ec7,An Approach to Carry Out Consistency Analysis on Requirements: Validating and Tracking Requirements through a Configuration Structure,"Requirements management and traceability have always been one of grand challenges in software development area. Studies reveal that 30-40% of software defects can be traced to gaps or errors in requirements Although several models and techniques have been defined to optimize the requirements process, ensuring alignment and consistency of elicited requirements continues to be a challenge. All software engineering standards and methodologies recognize the importance of maintaining relationships among the software elements for traceability. We have leveraged the structured relationships among the requirement elements to come up with an approach to systematically carry out consistency analysis of requirements for software systems. The framework has multiple models: a multi layered requirement model, a configuration structure to link and track the requirement items, a consistency analysis method to identify the inconsistencies in the requirements and a consistency index computation to indicate the level of consistency in overall requirements of the software system. This approach helps to validate the requirements from both completeness and correctness perspectives and also check their consistency in forward and backward directions. The paper outlines the framework, describes the encompassing models and the implementation details from pilot of the framework to an industry case study along with results."
493.0,Excluded,ec7,An approach to enterprise process dynamic modeling supporting enterprise process evolution,"This study presents an evolutionary approach to support dynamic enterprise modeling for enterprise process cooperative scheduling and management. In this paper, an evolutionary dynamic enterprise process modeling method was proposed from the concepts of enterprise process evolution to zero-time enterprise modeling and layered complex enterprise modeling. Based on an autonomous agent development platform, an agent-based enterprise collaborative modeling environment has been implemented by integrating several software resource agents that wrap main function modules of EPMS. Scheduling strategies, algorithms, and process-driven cooperative scheduling mechanism are also discussed."
494.0,Excluded,ec3,An approach to model the return on investment of organization-wide improvement projects using the concept of external effects,"Return on Investment in the software world is affected by many aspects addressing different targets. Currently it seems that no appropriate method to catch all relevant aspects of investments that affect not a single project's success, but the capabilities and potentialities of the organization that delivers software in different projects is available. In this paper, we present an approach to model interrelations between the different effects of such investments. It is based on the definition of four criteria by which ""capability"" of an organization developing software can be measured. For each of the four factors, we suggest a couple of indicators to determine the organization's level of maturity in that aspect. Furthermore, we sketch a method to integrate the anticipated benefits of improvement investments. This analysis is based on the theory of external effects since we believe that investments in one area have implications on the other competencies or aspects of software development capability."
495.0,Excluded,ec3,An approach to test-driven development of conceptual schemas,"Test-Driven Development (TDD) is an extreme programming development method in which a software system is developed in short iterations. In this paper we present the Test-Driven Conceptual Modeling (TDCM) method, which is an application of \{TDD\} for conceptual modeling, and we show how to develop a conceptual schema using it. In TDCM, a system's conceptual schema is incrementally obtained by performing three kinds of tasks: (1) Write a test the system should pass; (2) Change the schema to pass the test; and (3) Refactor the schema to improve its qualities. We also describe an integration approach of \{TDCM\} into a broad set of software development methodologies, including the Unified Process development methodology, the MDD-based approaches, the storytest-driven agile methods and the goal and scenario-oriented requirements engineering methods. We deal with schemas written in UML/OCL, but the \{TDCM\} method could be adapted to the development of schemas in other languages."
497.0,Excluded,ec7,An approach to the software quality management,"This article is devoted to an engineering approach to software quality management. The approach is oriented toward the attainment of the software maturity, which is a key software quality characteristic. A model of quality and a conceptual model for making decisions on software quality management are developed. They are based on methods of specification of quality requirements to the maturity of software components, defect prediction, and systematic quantitative reliability control during software development. A graphical defect prediction model (a Bayesian Belief Network) is presented."
498.0,Excluded,ec3,An architectural model for software testing lesson learned systems,"Context Software testing is a key aspect of software reliability and quality assurance in a context where software development constantly has to overcome mammoth challenges in a continuously changing environment. One of the characteristics of software testing is that it has a large intellectual capital component and can thus benefit from the use of the experience gained from past projects. Software testing can, then, potentially benefit from solutions provided by the knowledge management discipline. There are in fact a number of proposals concerning effective knowledge management related to several software engineering processes. Objective We defend the use of a lesson learned system for software testing. The reason is that such a system is an effective knowledge management resource enabling testers and managers to take advantage of the experience locked away in the brains of the testers. To do this, the experience has to be gathered, disseminated and reused. Method After analyzing the proposals for managing software testing experience, significant weaknesses have been detected in the current systems of this type. The architectural model proposed here for lesson learned systems is designed to try to avoid these weaknesses. This model (i) defines the structure of the software testing lessons learned; (ii) sets up procedures for lesson learned management; and (iii) supports the design of software tools to manage the lessons learned. Results A different approach, based on the management of the lessons learned that software testing engineers gather from everyday experience, with two basic goals: usefulness and applicability. Conclusion The architectural model proposed here lays the groundwork to overcome the obstacles to sharing and reusing experience gained in the software testing and test management. As such, it provides guidance for developing software testing lesson learned systems."
499.0,Excluded,ec7,An architecture-centric approach for goal-driven requirements elicitation,"Software system development typically starts from a requirement specification followed by stepwise refinement of available requirements while transferring them into the system architecture. However, the granularity and the amount of requirements to be elicited for a successful architectural design are not well understood. This paper proposes a process concept to support system development with the help of an architecture-centric approach for goal-driven requirements elicitation. The process focuses on multiple quality dimensions, such as performance, reliability and scalability, and at the same time shall reduce costs and risks through early decision evaluation. The main contribution of this paper is a novel process where not only requirements can drive architectural design, but also architectural design can selectively drive requirement elicitation with the help of hypotheses connected to the selected architectural solutions. The paper concludes with a discussion on its possible empirical validation."
500.0,Excluded,ec7,An aspect-oriented UML tool for software development with early aspects,Aspect-oriented Component Engineering uses early aspects to better categorize and reason about provided and required services of individual components in software systems. Our earlier work on AOCE demonstrated an increase in the reusability and understandability of software components and systems via its usage of early requirements and design-phase aspects but lacked adequate tool support. We describe a novel design tool called Aspect-Oriented UML (AO-UML) that can be used to efficiently capture and manage early aspects for software development using the Aspect-oriented Component Engineering methodology. The key benefits of our tool are its use throughout the development lifecycle and its ability to support and take advantage of Aspect-Oriented Component Engineering's features and capabilities.
501.0,Included,included,An audit model for ISO 9001 traceability requirements in agile-XP environments,"Software organizations that develop their software products using the agile software processes such as Extreme Programming (XP) face a number of challenges in their effort to demonstrate that their process activities conform to ISO 9001 requirements, a major one being product traceability: software organizations must provide evidence of ISO 9001 conformity, and they need to develop their own procedures, tools, and methodologies to do so. This paper proposes an auditing model for ISO 9001 traceability requirements that is applicable in agile (XP) environments. The design of our model is based on evaluation theory, and includes the use of several auditing ""yardsticks"" derived from the principles of engineering design, the SWEBOK Guide, and the CMMI-DEV guidelines for requirement management and traceability for each yardstick. Finally, five approaches for agile-XP traceability approaches are audited based on the proposed audit model. Â© 2013 ACADEMY PUBLISHER."
502.0,Excluded,ec3,An automated approach for acceptance web test case modeling and executing,"This paper proposes an approach for modeling and executing acceptance web test cases and describes a suite of tools to support it. The main objective is to assist the use of Acceptance Test-Driven Development (ATDD) in web applications by providing mechanisms to support customer-developer communication and by helping test case creation. Initially, the set of web pages and relations (links) associated with a user story is modeled. Functional test possibilities involving these relations are automatically summarized in a graph, being each path of the graph a user story testing scenario. Once a testing scenario is accepted by the customer, a testing script is automatically created. A web testing framework then executes the script, triggering the ATDD process. Â© Springer-Verlag Berlin Heidelberg 2010."
503.0,Excluded,ec3,An efficient algorithm to solve a multi-objective robust aggregate production planning in an uncertain environment,"Risk is inherent in most economic activities. This is especially true of production activities where results of decisions made today may have many possible different outcomes depending on future events. Since companies cannot usually protect themselves completely against risk, they have to manage it. In this paper, we present a multi-objective model to deal with a multi-period multi-product multi-site aggregate production planning problem for a medium-term planning horizon under uncertainty. The first objective function attempts to minimize sum of the expected value and the variability of total costs with reference to inventory levels, regular, overtime and subcontracting levels, backordering levels, and labor, machine and warehouse capacities. The second objective function highlighted the concept of customer service level through minimizing the expected value of maximum shortages among all customers’ zones from which the variability of that is conducted. The last objective function aims to maximize workers productivity, a weighted average of productivity levels in all factories and in all periods which is weighted by the number of k-level labors. Then, we use an efficient algorithm that is a combination of an augmented ε-constraint method and genetic algorithm to solve our proposed model. The results demonstrate the practicability of the proposed multi-objective stochastic model as well as the proposed algorithm."
